=== Perf spikes (ms) ===
[   376,2s f31289] AIThink: 6,5 ms brains 1
[   377,6s f31346] HutIncome: 13,7 ms huts 59
[   379,7s f31423] HutIncome: 17,8 ms huts 61
[   381,7s f31517] HutIncome: 13,4 ms huts 61
[   383,7s f31599] HutIncome: 13,5 ms huts 61
[   385,7s f31680] HutIncome: 15,0 ms huts 61
[   387,7s f31762] HutIncome: 14,8 ms huts 62
[   389,7s f31846] HutIncome: 18,9 ms huts 62
[   391,7s f31928] HutIncome: 15,2 ms huts 63
[   393,8s f32010] HutIncome: 16,0 ms huts 63
[   393,9s f32017] FRAME: 50,1 ms gc0+0 gc1+0 gc2+0
[   395,2s f32077] FRAME: 52,8 ms gc0+0 gc1+0 gc2+0
[   395,3s f32078] FRAME: 52,6 ms gc0+0 gc1+0 gc2+0
[   395,8s f32096] HutIncome: 15,6 ms huts 63
[   397,8s f32184] HutIncome: 14,7 ms huts 63
[   399,8s f32272] HutIncome: 13,6 ms huts 63
[   401,7s f32356] AIThink: 9,9 ms brains 1
[   401,8s f32360] HutIncome: 16,2 ms huts 65
[   403,8s f32449] HutIncome: 13,0 ms huts 66
[   405,8s f32532] HutIncome: 17,1 ms huts 67
[   407,8s f32614] HutIncome: 14,8 ms huts 67
[   409,8s f32696] HutIncome: 13,5 ms huts 67
[   411,8s f32775] HutIncome: 17,6 ms huts 67
[   412,1s f32787] AIThink: 9,8 ms brains 1
[   413,8s f32854] HutIncome: 17,1 ms huts 67
[   414,3s f32872] AIThink: 10,0 ms brains 1
[   415,8s f32934] HutIncome: 14,0 ms huts 67
[   416,5s f32958] AIThink: 8,8 ms brains 1
[   417,8s f33013] HutIncome: 13,8 ms huts 67
[   418,6s f33043] AIThink: 12,0 ms brains 1
[   419,9s f33092] HutIncome: 13,7 ms huts 67
[   420,8s f33128] AIThink: 9,2 ms brains 2
[   421,9s f33172] HutIncome: 15,3 ms huts 67
[   422,9s f33213] AIThink: 8,5 ms brains 1
[   423,9s f33252] HutIncome: 15,4 ms huts 67
[   424,9s f33293] AIThink: 9,5 ms brains 1
[   425,1s f33300] AIThink: 8,7 ms brains 1
[   425,9s f33335] HutIncome: 16,1 ms huts 68
[   427,0s f33381] AIThink: 10,1 ms brains 1
[   427,9s f33420] HutIncome: 18,4 ms huts 69
[   429,1s f33474] AIThink: 11,3 ms brains 1
[   429,9s f33517] HutIncome: 15,6 ms huts 69
[   431,2s f33572] AIThink: 10,3 ms brains 1
[   432,0s f33605] HutIncome: 15,2 ms huts 69
[   433,2s f33661] AIThink: 10,8 ms brains 1
[   434,0s f33690] HutIncome: 17,9 ms huts 70
[   436,0s f33781] HutIncome: 15,3 ms huts 70
[   438,0s f33867] HutIncome: 14,3 ms huts 70
[   440,0s f33952] HutIncome: 16,4 ms huts 70
[   442,0s f34036] HutIncome: 13,9 ms huts 70
[   444,0s f34120] HutIncome: 15,3 ms huts 70
[   446,0s f34205] HutIncome: 14,7 ms huts 70
[   448,0s f34288] HutIncome: 16,8 ms huts 70
[   448,9s f34322] AIThink: 10,9 ms brains 1
[   450,1s f34373] HutIncome: 22,5 ms huts 70
[   450,1s f34374] FRAME: 58,2 ms gc0+0 gc1+0 gc2+0
[   451,0s f34414] AIThink: 11,5 ms brains 1
[   452,0s f34456] AIThink: 9,8 ms brains 1
[   452,1s f34459] HutIncome: 16,7 ms huts 71
[   453,2s f34507] AIThink: 9,5 ms brains 1
[   453,3s f34511] AIThink: 9,0 ms brains 1
[   454,1s f34545] HutIncome: 15,7 ms huts 71
[   454,1s f34545] AIThink: 9,8 ms brains 1
[   454,9s f34577] FRAME: 54,0 ms gc0+0 gc1+0 gc2+0
[   455,0s f34578] FRAME: 134,8 ms gc0+0 gc1+0 gc2+0
[   455,3s f34591] AIThink: 11,8 ms brains 1
[   455,5s f34598] AIThink: 8,6 ms brains 1
[   456,1s f34624] HutIncome: 17,2 ms huts 71
[   456,2s f34626] AIThink: 10,3 ms brains 1
[   457,5s f34682] AIThink: 9,8 ms brains 1
[   457,8s f34692] AIThink: 11,3 ms brains 1
[   458,1s f34707] HutIncome: 17,2 ms huts 71
[   458,3s f34713] AIThink: 11,4 ms brains 1
[   459,7s f34770] AIThink: 10,1 ms brains 1
[   460,0s f34783] AIThink: 8,2 ms brains 1
[   460,1s f34789] HutIncome: 16,4 ms huts 71
[   460,4s f34799] AIThink: 10,0 ms brains 1
[   461,8s f34860] AIThink: 9,2 ms brains 1
[   462,1s f34873] HutIncome: 14,9 ms huts 71
[   462,2s f34875] AIThink: 8,7 ms brains 1
[   462,4s f34885] AIThink: 10,7 ms brains 1
[   464,0s f34949] AIThink: 8,5 ms brains 1
[   464,1s f34956] HutIncome: 16,2 ms huts 71
